"period","stateid","price","sales"
"2020-12","NJ",13.28,"6193.50579"
"2020-12","NM",8.91,"2035.31588"
"2020-12","NV",7.62,"2834.59401"
"2020-12","NY",14.55,"11689.62583"
"2020-12","OH",9.37,"12566.67032"
"2020-12","OK",7.04,"5284.88931"
"2020-12","OR",8.96,"4830.69165"
"2020-12","PA",9.7,"12555.63285"
"2020-12","PACC",14.07,"34846.51901"
"2020-12","PACN",23.36,"1308.84334"
"2020-12","RI",18.92,"615.45549"
"2020-12","SAT",9.83,"67720.5794"
"2020-12","SC",9.89,"6249.32166"
"2020-12","SD",9.85,"1119.02335"
"2020-12","TN",9.32,"8123.53971"
"2020-12","TX",8.03,"34485.27606"
"2020-12","US",10.37,"315330.30203"
"2020-12","UT",7.77,"2665.55037"
"2020-12","VA",9.01,"10965.17122"
"2020-12","VT",16.31,"486.41819"
"2020-12","WA",8.68,"8289.48365"
"2020-12","WI",10.68,"5825.05403"
"2020-12","WNC",8.89,"25885.87097"
"2020-12","WSC",7.9,"50771.64315"
"2020-12","WV",8.85,"3039.40136"
"2020-12","WY",8.06,"1382.17869"
"2020-11","AK",19.36,"523.34795"
"2020-11","AL",9.78,"6154.98385"
"2020-11","AR",8.13,"3379.52624"
"2020-11","AZ",9.44,"5460.70035"
"2020-11","CA",18.38,"16723.70403"
"2020-11","CO",10.31,"4266.64676"
"2020-11","CT",18.22,"2013.66452"
"2020-11","DC",11.72,"753.11946"
"2020-11","DE",10.57,"800.33664"
"2020-11","ENC",10.25,"40783.23734"
"2020-11","ESC",9.33,"21792.89815"
"2020-11","FL",10.38,"18496.54066"
"2020-11","GA",9.57,"9696.91072"
"2020-11","HI",26.52,"758.08472"
"2020-11","IA",7.87,"4010.0891"
"2020-11","ID",7.93,"1844.84574"
"2020-11","IL",9.88,"9748.15769"
"2020-11","IN",9.91,"7549.25459"
"2020-11","KS",10.19,"2874.38929"
"2020-11","KY",8.67,"5364.65675"
"2020-11","LA",7.81,"6620.02487"
"2020-11","MA",17.69,"3732.42228"
"2020-11","MAT",12.38,"26190.23933"
"2020-11","MD",11.12,"4176.22333"
"2020-11","ME",13.09,"837.56289"
"2020-11","MI",12,"7441.3107"
"2020-11","MN",10.05,"5052.46576"
"2020-11","MO",8.7,"5529.58586"
"2020-11","MS",9.32,"3364.54124"
"2020-11","MT",9.27,"1166.77457"
"2020-11","MTN",8.97,"20961.78188"
"2020-11","NC",8.7,"10209.63953"
"2020-11","ND",8.16,"1887.57138"
"2020-11","NE",8.46,"2388.58445"
"2020-11","NEW",17.29,"8341.70199"
"2020-11","NH",16.75,"813.14442"
"2020-11","NJ",12.95,"5160.74115"
"2020-11","NM",9.2,"1858.74842"
"2020-11","NV",7.61,"2638.27914"
"2020-11","NY",14.88,"10516.59928"
"2020-11","OH",9.4,"10789.5918"
"2020-11","OK",7.48,"4518.50392"
"2020-11","OR",8.97,"4327.36768"
"2020-11","PA",9.59,"10512.8989"
"2020-11","PACC",14.49,"28108.52625"
"2020-11","PACN",23.6,"1281.43267"
"2020-11","RI",19.21,"519.35133"
"2020-11","SAT",9.63,"61559.97524"
"2020-11","SC",9.24,"5920.01231"
"2020-11","SD",10.21,"997.18395"
"2020-11","TN",9.44,"6908.71631"
"2020-11","TX",8.07,"30971.48328"
"2020-11","US",10.38,"277249.20095"
"2020-11","UT",7.92,"2476.60575"
"2020-11","VA",8.71,"8953.09806"
"2020-11","VT",16.31,"425.55656"
"2020-11","WA",8.67,"7057.45454"
"2020-11","WI",10.69,"5254.92256"
"2020-11","WNC",9.04,"22739.86978"
"2020-11","WSC",7.98,"45489.53831"
"2020-11","WV",8.97,"2554.09454"
"2020-11","WY",8.2,"1249.18115"
"2020-10","AK",20.19,"479.36493"
"2020-10","AL",9.83,"6477.24728"
"2020-10","AR",8.29,"3638.05122"
"2020-10","AZ",10.17,"6801.56566"
"2020-10","CA",18.82,"23587.97568"
"2020-10","CO",10.25,"4526.36734"
"2020-10","CT",18.57,"2000.05523"
"2020-10","DC",12.21,"735.84635"
"2020-10","DE",10.57,"826.42021"
"2020-10","ENC",10.28,"41971.74964"
"2020-10","ESC",9.27,"22856.17737"
"2020-10","FL",10.22,"21040.06129"
"2020-10","GA",9.65,"10389.55079"
"2020-10","HI",26.41,"797.99312"
"2020-10","IA",7.95,"4043.75136"
"2020-10","ID",7.92,"1778.50885"
"2020-10","IL",9.94,"9955.0168"
"2020-10","IN",9.87,"7848.70714"
"2020-10","KS",10.36,"3104.19365"
"2020-10","KY",8.57,"5430.02663"
"2020-10","LA",8.17,"6997.02394"
"2020-10","MA",17.68,"3795.46225"
"2020-10","MAT",12.56,"26496.58344"
"2020-10","MD",11.25,"4022.86449"
"2020-10","ME",13.14,"909.20452"
"2020-10","MI",12.09,"7645.687"
"2020-10","MN",10.59,"5002.61513"
"2020-10","MO",8.97,"5599.49669"
"2020-10","MS",9.2,"3731.02109"
"2020-10","MT",9.46,"1102.94103"
"2020-10","MTN",9.26,"23080.59727"
"2020-10","NC",9.4,"10142.57064"
"2020-10","ND",8.1,"1840.97513"
"2020-10","NE",8.82,"2374.62042"
"2020-10","NEW",17.28,"8476.17671"
"2020-10","NH",16.59,"804.40397"
"2020-10","NJ",13.1,"5221.92178"
"2020-10","NM",9.31,"2019.72283"
"2020-10","NV",7.84,"3051.28429"
"2020-10","NY",15.4,"10780.31188"
"2020-10","OH",9.46,"11220.68024"
"2020-10","OK",7.62,"4747.58179"
"2020-10","OR",8.83,"3998.80518"
"2020-10","PA",9.37,"10494.34978"
"2020-10","PACC",15.67,"34214.90613"
"2020-10","PACN",24.07,"1277.35804"
"2020-10","RI",18.41,"552.86932"
"2020-10","SAT",9.79,"64083.58"
"2020-10","SC",9.82,"6012.09958"
"2020-10","SD",10.23,"977.18644"
"2020-10","TN",9.31,"7217.88237"
"2020-10","TX",8.17,"36093.95316"
"2020-10","US",10.65,"296876.57754"
"2020-10","UT",8.02,"2555.15349"
"2020-10","VA",8.64,"8444.64636"
"2020-10","VT",16.42,"414.18142"
"2020-10","WA",8.55,"6628.12526"
"2020-10","WI",10.71,"5301.65847"
"2020-10","WNC",9.3,"22942.83883"
"2020-10","WSC",8.12,"51476.61012"
"2020-10","WV",8.87,"2469.52031"
"2020-10","WY",8.4,"1245.05378"
"2020-09","AK",20.11,"445.3989"
"2020-09","AL",10.36,"7297.99223"
"2020-09","AR",8.71,"4258.33998"
"2020-09","AZ",10.82,"8003.82591"
"2020-09","CA",19.77,"23975.36364"
"2020-09","CO",10.84,"4784.25233"
"2020-09","CT",18.83,"2203.68056"
"2020-09","DC",11.91,"824.76747"
"2020-09","DE",10.34,"917.24485"
"2020-09","ENC",10.29,"43191.11672"
"2020-09","ESC",9.46,"26711.67551"
"2020-09","FL",10.43,"22955.28069"
"2020-09","GA",10.15,"11816.43119"
"2020-09","HI",27.31,"746.89677"
"2020-09","IA",9.48,"4041.53329"
"2020-09","ID",7.86,"1969.80297"
"2020-09","IL",9.59,"10573.98221"
"2020-09","IN",10.11,"8103.91584"
"2020-09","KS",10.02,"3447.73482"
"2020-09","KY",8.7,"6025.49499"
"2020-09","LA",7.81,"8174.25394"
"2020-09","MA",18.09,"4318.92772"
"2020-09","MAT",13.09,"30068.73638"
"2020-09","MD",10.97,"4599.76276"
"2020-09","ME",13.52,"945.54699"
"2020-09","MI",12.26,"7642.91755"
"2020-09","MN",11.26,"4933.45266"
"2020-09","MO",9.69,"6258.0563"
"2020-09","MS",8.95,"4439.86924"
"2020-09","MT",9.4,"1131.2421"
"2020-09","MTN",9.94,"25599.89556"
"2020-09","NC",9.92,"11134.53304"
"2020-09","ND",8.9,"1673.74854"
"2020-09","NE",9.46,"2506.52705"
"2020-09","NEW",17.6,"9377.49755"
"2020-09","NH",16.42,"868.214"
"2020-09","NJ",13.97,"6149.65873"
"2020-09","NM",10.05,"2170.12823"
"2020-09","NV",9.44,"3664.84893"
"2020-09","NY",15.97,"12416.35791"
"2020-09","OH",9.5,"11570.30027"
"2020-09","OK",8.26,"5259.89177"
"2020-09","OR",8.81,"3950.04774"
"2020-09","PA",9.51,"11502.71974"
"2020-09","PACC",16.44,"34220.90914"
"2020-09","PACN",24.62,"1192.29567"
"2020-09","RI",18.5,"621.95208"
"2020-09","SAT",10.09,"70850.49201"
"2020-09","SC",10.25,"6667.05385"
"2020-09","SD",10.34,"1005.57735"
"2020-09","TN",9.49,"8948.31906"
"2020-09","TX",8.68,"39782.77908"
"2020-09","US",10.99,"322554.51332"
"2020-09","UT",8.66,"2728.82652"
"2020-09","VA",8.98,"9502.81459"
"2020-09","VT",16.41,"419.17622"
"2020-09","WA",8.53,"6295.49776"
"2020-09","WI",10.85,"5300.00086"
"2020-09","WNC",9.97,"23866.63001"
"2020-09","WSC",8.52,"57475.26476"
"2020-09","WV",8.96,"2432.60358"
"2020-09","WY",8.55,"1146.96857"
"2020-08","AK",20.05,"462.60538"
"2020-08","AL",10.33,"8381.1636"
"2020-08","AR",8.55,"4683.54259"
"2020-08","AZ",11.14,"9843.02247"
"2020-08","CA",19.95,"24001.90557"
"2020-08","CO",10.81,"5567.12403"
"2020-08","CT",19.67,"2664.81751"
"2020-08","DC",11.49,"925.38569"
"2020-08","DE",9.84,"1169.64224"
"2020-08","ENC",10.36,"51826.83204"
"2020-08","ESC",9.47,"29735.84771"
"2020-08","FL",10.09,"24982.87265"
"2020-08","GA",10.83,"13656.15965"
"2020-08","HI",26.17,"773.07904"
"2020-08","IA",10.69,"4627.91587"
"2020-08","ID",8.3,"2510.52719"
"2020-08","IL",9.75,"13199.72691"
"2020-08","IN",9.89,"9237.58465"
"2020-08","KS",10.69,"4079.52781"
"2020-08","KY",8.7,"6781.20095"
"2020-08","LA",7.58,"8705.25009"
"2020-08","MA",18.49,"5196.30138"
"2020-08","MAT",13.18,"35483.35598"
"2020-08","MD",10.8,"5760.72281"
"2020-08","ME",13.59,"1085.9687"
"2020-08","MI",12.29,"9540.75589"
"2020-08","MN",11.17,"5925.20127"
"2020-08","MO",11.05,"7387.03518"
"2020-08","MS",8.99,"4735.41699"
"2020-08","MT",9.51,"1257.73374"
"2020-08","MTN",10.07,"30771.75741"
"2020-08","NC",9.73,"12827.88953"
"2020-08","ND",8.8,"1790.92962"
"2020-08","NE",9.4,"3138.86107"
"2020-08","NEW",18.06,"11204.88317"
"2020-08","NH",16.44,"1018.6483"
"2020-08","NJ",14.46,"7740.89786"
"2020-08","NM",10.25,"2478.58234"
"2020-08","NV",9.01,"4458.30549"
"2020-08","NY",15.85,"14164.86484"
"2020-08","OH",9.55,"13512.24513"
"2020-08","OK",8.22,"6383.3291"
"2020-08","OR",8.77,"4473.88441"
"2020-08","PA",9.66,"13577.59328"
"2020-08","PACC",16.25,"35377.39309"
"2020-08","PACN",23.88,"1235.68442"
"2020-08","RI",19.29,"761.80393"
"2020-08","SAT",10.07,"81641.86265"
"2020-08","SC",10.24,"7832.5835"
"2020-08","SD",10.62,"1166.55339"
"2020-08","TN",9.51,"9838.06617"
"2020-08","TX",8.75,"43718.74172"
"2020-08","US",11.02,"368884.50417"
"2020-08","UT",9.05,"3380.84141"
"2020-08","VA",9.37,"11616.89904"
"2020-08","VT",16.1,"477.34334"
"2020-08","WA",8.25,"6901.60312"
"2020-08","WI",11.12,"6336.51947"
"2020-08","WNC",10.62,"28116.02421"
"2020-08","WSC",8.52,"63490.8635"
"2020-08","WV",8.43,"2869.70755"
"2020-08","WY",8.55,"1275.62074"
"2020-07","AK",20.39,"449.82331"
"2020-07","AL",10.41,"8223.47991"
"2020-07","AR",8.93,"4524.33454"
"2020-07","AZ",11.36,"9559.07379"
"2020-07","CA",19.12,"26098.31993"
"2020-07","CO",10.79,"5526.2834"
"2020-07","CT",19.27,"3022.02301"
"2020-07","DC",11.4,"1015.12841"
"2020-07","DE",9.84,"1189.16634"
"2020-07","ENC",10.53,"55433.62368"
"2020-07","ESC",9.55,"29624.28425"
"2020-07","FL",10.22,"24655.63867"
"2020-07","GA",10.69,"14170.9959"
"2020-07","HI",25.98,"758.44311"
"2020-07","IA",10.98,"4764.89978"
"2020-07","ID",8.51,"2579.32231"
"2020-07","IL",9.7,"14143.89482"
"2020-07","IN",10.1,"9547.97438"
"2020-07","KS",10.72,"4229.56833"
"2020-07","KY",8.66,"7148.49838"
"2020-07","LA",7.66,"8607.6968"
"2020-07","MA",18.32,"5037.8566"
"2020-07","MAT",13.34,"36931.31383"
"2020-07","MD",10.71,"6347.38337"
"2020-07","ME",13.62,"1025.0367"
"2020-07","MI",12.7,"10419.69468"
"2020-07","MN",11.32,"6069.0921"
"2020-07","MO",11.2,"8019.98678"
"2020-07","MS",9.1,"4612.76764"
"2020-07","MT",9.2,"1209.51149"
"2020-07","MTN",10.1,"30121.95446"
"2020-07","NC",9.58,"13787.25601"
"2020-07","ND",9.05,"1716.49158"
"2020-07","NE",9.73,"3191.55256"
"2020-07","NEW",17.78,"11480.16209"
"2020-07","NH",16.01,"1081.4837"
"2020-07","NJ",14.66,"8489.55255"
"2020-07","NM",10.41,"2449.60578"
"2020-07","NV",8.83,"4351.98566"
"2020-07","NY",15.99,"14462.22528"
"2020-07","OH",9.67,"14535.69225"
"2020-07","OK",8.19,"6595.90896"
"2020-07","OR",8.88,"4399.67728"
"2020-07","PA",9.8,"13979.536"
"2020-07","PACC",15.93,"37375.42517"
"2020-07","PACN",23.9,"1208.26642"
"2020-07","RI",17.45,"808.34291"
"2020-07","SAT",10.08,"84469.0036"
"2020-07","SC",10.26,"7984.99305"
"2020-07","SD",10.41,"1160.68676"
"2020-07","TN",9.7,"9639.53832"
"2020-07","TX",8.62,"44005.78939"
"2020-07","US",11.06,"379530.04105"
"2020-07","UT",8.89,"3195.44341"
"2020-07","VA",9.41,"12356.06521"
"2020-07","VT",16.26,"505.41917"
"2020-07","WA",8.33,"6877.42797"
"2020-07","WI",11.36,"6786.36756"
"2020-07","WNC",10.8,"29152.27788"
"2020-07","WSC",8.47,"63733.72968"
"2020-07","WV",8.8,"2962.37665"
"2020-07","WY",8.49,"1250.72863"
"2020-06","AK",20.5,"426.73726"
"2020-06","AL",10.31,"7187.13224"
"2020-06","AR",8.77,"3740.83358"
"2020-06","AZ",11.08,"7869.86641"
"2020-06","CA",18.64,"21459.87126"
"2020-06","CO",10.96,"4760.2355"
"2020-06","CT",18.58,"2428.9294"
"2020-06","DC",12.15,"741.82746"
"2020-06","DE",10.47,"945.9826"
"2020-06","ENC",10.6,"46175.77485"
"2020-06","ESC",9.52,"25229.6618"
"2020-06","FL",10.06,"22229.86186"
"2020-06","GA",10.52,"11701.78138"
"2020-06","HI",25.92,"732.89277"
"2020-06","IA",9.36,"4323.09176"
"2020-06","ID",8.34,"2215.27423"
"2020-06","IL",9.92,"11759.53918"
"2020-06","IN",10.23,"8227.58064"
"2020-06","KS",10.87,"3684.24476"
"2020-06","KY",8.62,"6099.72239"
"2020-06","LA",7.51,"7947.183"
"2020-06","MA",17.45,"3949.49283"
"2020-06","MAT",13.08,"29221.67205"
"2020-06","MD",10.99,"4929.33868"
"2020-06","ME",13.73,"872.05932"
"2020-06","MI",13,"8347.6845"
"2020-06","MN",11.73,"5241.44688"
"2020-06","MO",11.26,"6834.83571"
"2020-06","MS",9.11,"4028.45437"
"2020-06","MT",8.93,"1146.19091"
"2020-06","MTN",9.93,"25440.82683"
"2020-06","NC",9.52,"11067.31843"
"2020-06","ND",9.09,"1541.52033"
"2020-06","NE",9.46,"2755.03707"
"2020-06","NEW",17.22,"9218.66135"
"2020-06","NH",16.45,"892.82317"
"2020-06","NJ",14.21,"6572.67427"
"2020-06","NM",9.8,"2122.32723"
"2020-06","NV",8.72,"3564.58134"
"2020-06","NY",15.8,"11464.54553"
"2020-06","OH",9.54,"12123.59298"
"2020-06","OK",8.07,"5833.5525"
"2020-06","OR",8.74,"3852.82189"
"2020-06","PA",9.64,"11184.45226"
"2020-06","PACC",15.32,"31764.36093"
"2020-06","PACN",23.93,"1159.63003"
"2020-06","RI",16.82,"645.55967"
"2020-06","SAT",10.01,"70780.72252"
"2020-06","SC",10.16,"6728.35864"
"2020-06","SD",10.28,"1003.38636"
"2020-06","TN",9.7,"7914.35281"
"2020-06","TX",8.58,"38159.28157"
"2020-06","US",10.88,"320055.72389"
"2020-06","UT",8.78,"2623.85811"
"2020-06","VA",9.33,"9959.23178"
"2020-06","VT",16.62,"429.79695"
"2020-06","WA",8.22,"6451.66778"
"2020-06","WI",11.31,"5717.37755"
"2020-06","WNC",10.61,"25383.56289"
"2020-06","WSC",8.38,"55680.85065"
"2020-06","WV",8.8,"2477.0217"
"2020-06","WY",8.52,"1138.4931"
"2020-05","AK",19.95,"432.8224"
"2020-05","AL",9.73,"6260.68982"
"2020-05","AR",8.17,"3200.6559"
"2020-05","AZ",11.05,"7075.00123"
"2020-05","CA",16.73,"18956.69382"
"2020-05","CO",9.96,"4417.2305"
"2020-05","CT",19.76,"1904.14195"
"2020-05","DC",12.33,"763.52457"
"2020-05","DE",10.65,"806.0971"
"2020-05","ENC",10.45,"38675.39744"
"2020-05","ESC",9.28,"21399.71708"
"2020-05","FL",8.46,"19310.72037"
"2020-05","GA",9.83,"10010.7509"
"2020-05","HI",28,"683.5157"
"2020-05","IA",9.14,"3732.53472"
"2020-05","ID",7.65,"1950.23079"
"2020-05","IL",10.15,"9676.69902"
"2020-05","IN",9.83,"6985.77631"
"2020-05","KS",10.98,"2764.63703"
"2020-05","KY",8.66,"5298.12172"
"2020-05","LA",7.46,"6769.04528"
"2020-05","MA",17.79,"3609.59656"
"2020-05","MAT",12.44,"24601.46823"
"2020-05","MD",11.3,"4121.81588"
"2020-05","ME",13.61,"807.60208"
"2020-05","MI",12.43,"6890.40831"
"2020-05","MN",10.67,"4499.16446"
"2020-05","MO",10.35,"5245.71087"
"2020-05","MS",9.21,"3345.22422"
"2020-05","MT",8.86,"1065.41457"
"2020-05","MTN",9.47,"23039.5232"
"2020-05","NC",9.18,"9725.37757"
"2020-05","ND",8.82,"1536.52592"
"2020-05","NE",9.19,"2118.46594"
"2020-05","NEW",17.67,"8055.59052"
"2020-05","NH",16.71,"785.81211"
"2020-05","NJ",13.47,"5006.80249"
"2020-05","NM",8.81,"1959.44608"
"2020-05","NV",8.09,"3049.6287"
"2020-05","NY",14.5,"9729.97032"
"2020-05","OH",9.63,"10176.76147"
"2020-05","OK",7.33,"4647.42203"
"2020-05","OR",8.88,"3802.67889"
"2020-05","PA",9.87,"9864.69543"
"2020-05","PACC",13.84,"29071.8526"
"2020-05","PACN",24.88,"1116.3381"
"2020-05","RI",17.85,"552.87737"
"2020-05","SAT",9.3,"61308.71181"
"2020-05","SC",9.82,"5739.6141"
"2020-05","SD",9.98,"880.88508"
"2020-05","TN",9.4,"6495.68132"
"2020-05","TX",8.33,"32043.43501"
"2020-05","US",10.39,"274707.0812"
"2020-05","UT",8.39,"2401.77923"
"2020-05","VA",9.08,"8416.21365"
"2020-05","VT",16.45,"395.56046"
"2020-05","WA",8.13,"6312.47989"
"2020-05","WI",10.85,"4945.75233"
"2020-05","WNC",10.04,"20777.924"
"2020-05","WSC",8.09,"46660.55822"
"2020-05","WV",8.88,"2414.59767"
"2020-05","WY",8.51,"1120.79211"
"2020-04","AK",19.11,"472.33587"
"2020-04","AL",9.62,"5708.45118"
"2020-04","AR",8.2,"3178.00961"
"2020-04","AZ",10.13,"5391.69661"
"2020-04","CA",16.08,"16963.48016"
"2020-04","CO",9.86,"3972.53202"
"2020-04","CT",20.54,"1845.31151"
"2020-04","DC",12.1,"712.08382"
"2020-04","DE",10.25,"800.55569"
"2020-04","ENC",10.39,"36877.93597"
"2020-04","ESC",9.19,"20561.97857"
"2020-04","FL",10.22,"18600.77317"
"2020-04","GA",9.52,"8897.64289"
"2020-04","HI",30.35,"621.83354"
"2020-04","IA",8.68,"3718.95029"
"2020-04","ID",7.58,"1729.81447"
"2020-04","IL",9.93,"9080.24047"
"2020-04","IN",10.02,"6544.25372"
"2020-04","KS",10.37,"2692.59234"
"2020-04","KY",8.49,"5046.61701"
"2020-04","LA",6.91,"6868.70322"
"2020-04","MA",18.53,"3590.05588"
"2020-04","MAT",12.06,"25233.95505"
"2020-04","MD",11.28,"3973.69245"
"2020-04","ME",13.72,"880.31359"
"2020-04","MI",12.33,"6437.4256"
"2020-04","MN",10.26,"4700.4044"
"2020-04","MO",8.97,"5089.17966"
"2020-04","MS",9.01,"3308.07013"
"2020-04","MT",8.69,"1225.34695"
"2020-04","MTN",9,"19973.8108"
"2020-04","NC",9.68,"8666.86406"
"2020-04","ND",8.71,"1730.69592"
"2020-04","NE",8.94,"2174.67732"
"2020-04","NEW",18.22,"8024.51896"
"2020-04","NH",16.72,"779.74883"
"2020-04","NJ",13.36,"4734.06346"
"2020-04","NM",8.63,"1747.04393"
"2020-04","NV",7.86,"2503.86248"
"2020-04","NY",13.61,"10322.36486"
"2020-04","OH",9.66,"9922.45861"
"2020-04","OK",7.39,"4282.22336"
"2020-04","OR",8.72,"3852.91276"
"2020-04","PA",9.87,"10177.52673"
"2020-04","PACC",13.04,"27836.3856"
"2020-04","PACN",25.5,"1094.16941"
"2020-04","RI",19.01,"536.87101"
"2020-04","SAT",9.91,"57167.6459"
"2020-04","SC",9.86,"5158.59852"
"2020-04","SD",9.94,"957.69527"
"2020-04","TN",9.46,"6498.84025"
"2020-04","TX",8.23,"30237.03015"
"2020-04","US",10.34,"262400.56179"
"2020-04","UT",7.93,"2197.47502"
"2020-04","VA",9.33,"7977.08853"
"2020-04","VT",16.43,"392.21815"
"2020-04","WA",8.08,"7019.99268"
"2020-04","WI",10.67,"4893.55757"
"2020-04","WNC",9.41,"21064.1952"
"2020-04","WSC",7.95,"44565.96634"
"2020-04","WV",8.7,"2380.34675"
"2020-04","WY",8.28,"1206.03932"
"2020-03","AK",19.55,"535.20915"
"2020-03","AL",9.34,"6479.78199"
"2020-03","AR",8.01,"3615.50534"
"2020-03","AZ",9.49,"5172.09242"
"2020-03","CA",16.22,"19334.99603"
"2020-03","CO",9.79,"4429.54348"
"2020-03","CT",19.44,"2092.07214"
"2020-03","DC",12.12,"747.48137"
"2020-03","DE",10.37,"867.93957"
"2020-03","ENC",9.94,"43133.28544"
"2020-03","ESC",9.15,"23248.41441"
"2020-03","FL",10.05,"18071.12615"
"2020-03","GA",9.4,"10001.74782"
"2020-03","HI",29.38,"725.43212"
"2020-03","IA",8.5,"4066.19409"
"2020-03","ID",7.68,"1783.16575"
"2020-03","IL",9.66,"10412.0774"
"2020-03","IN",9.59,"7941.28461"
"2020-03","KS",10.26,"2927.18941"
"2020-03","KY",8.39,"5745.69622"
"2020-03","LA",7.15,"6838.75647"
"2020-03","MA",18.45,"3928.19209"
"2020-03","MAT",11.94,"27433.19597"
"2020-03","MD",11.37,"4366.00395"
"2020-03","ME",13.52,"992.37191"
"2020-03","MI",11.65,"7761.6942"
"2020-03","MN",9.9,"5498.89471"
"2020-03","MO",8.8,"5828.92847"
"2020-03","MS",9.11,"3626.00605"
"2020-03","MT",8.97,"1282.30201"
"2020-03","MTN",8.77,"21115.44274"
"2020-03","NC",9.32,"9945.58319"
"2020-03","ND",8.71,"1960.05629"
"2020-03","NE",9.01,"2502.2955"
"2020-03","NEW",17.84,"8886.70338"
"2020-03","NH",16.53,"860.78237"
"2020-03","NJ",13.22,"5330.91415"
"2020-03","NM",8.52,"1919.36301"
"2020-03","NV",7.71,"2723.93339"
"2020-03","NY",13.63,"11162.18297"
"2020-03","OH",9.04,"11451.66438"
"2020-03","OK",7.08,"4721.62398"
"2020-03","OR",8.81,"4433.99087"
"2020-03","PA",9.6,"10940.09885"
"2020-03","PACC",13.18,"31826.47785"
"2020-03","PACN",25.21,"1260.64127"
"2020-03","RI",18.43,"572.96177"
"2020-03","SAT",9.73,"61573.43026"
"2020-03","SC",9.59,"5891.00992"
"2020-03","SD",9.67,"1085.91351"
"2020-03","TN",9.58,"7396.93016"
"2020-03","TX",8.17,"32370.83125"
"2020-03","US",10.21,"289893.78032"
"2020-03","UT",7.81,"2420.26629"
"2020-03","VA",9.28,"9032.5662"
"2020-03","VT",16.34,"440.32309"
"2020-03","WA",8.27,"8057.49095"
"2020-03","WI",10.41,"5566.56487"
"2020-03","WNC",9.24,"23869.47197"
"2020-03","WSC",7.9,"47546.71703"
"2020-03","WV",8.57,"2649.97209"
"2020-03","WY",8.11,"1384.77639"
"2020-02","AK",19.61,"540.99683"
"2020-02","AL",9.44,"6737.74734"
"2020-02","AR",8.06,"3816.53509"
"2020-02","AZ",9.45,"5238.41831"
"2020-02","CA",16.87,"16783.77126"
"2020-02","CO",9.68,"4382.15032"
"2020-02","CT",19.73,"2174.21418"
"2020-02","DC",12.03,"815.96812"
"2020-02","DE",10.3,"895.11657"
"2020-02","ENC",9.94,"45284.12577"
"2020-02","ESC",9.18,"24564.90799"
"2020-02","FL",10.17,"16678.79927"
"2020-02","GA",9.45,"10389.30036"
"2020-02","HI",29.93,"674.49861"
"2020-02","IA",8.27,"4327.44047"
"2020-02","ID",7.68,"1899.48774"
"2020-02","IL",9.46,"11087.86921"
"2020-02","IN",9.64,"8482.08925"
"2020-02","KS",10.14,"3113.16319"
"2020-02","KY",8.48,"6132.85859"
"2020-02","LA",6.95,"7068.94"
"2020-02","MA",18.83,"4157.82994"
"2020-02","MAT",11.94,"28977.7853"
"2020-02","MD",11.51,"4768.05171"
"2020-02","ME",13.74,"925.68058"
"2020-02","MI",11.63,"8023.05474"
"2020-02","MN",9.99,"5470.68547"
"2020-02","MO",8.59,"6449.19303"
"2020-02","MS",9.07,"3678.60648"
"2020-02","MT",8.99,"1304.59434"
"2020-02","MTN",8.8,"21160.37793"
"2020-02","NC",9.34,"10566.01158"
"2020-02","ND",8.44,"1966.0212"
"2020-02","NE",8.46,"2538.21394"
"2020-02","NEW",18.24,"9144.91726"
"2020-02","NH",17.04,"880.74361"
"2020-02","NJ",13,"5432.01341"
"2020-02","NM",8.89,"1921.16046"
"2020-02","NV",7.99,"2575.56702"
"2020-02","NY",13.65,"11497.06322"
"2020-02","OH",9.19,"12137.68319"
"2020-02","OK",7.26,"4853.35238"
"2020-02","OR",8.78,"4419.31709"
"2020-02","PA",9.84,"12048.70867"
"2020-02","PACC",13.25,"29245.78678"
"2020-02","PACN",25.34,"1215.49544"
"2020-02","RI",18.98,"551.27858"
"2020-02","SAT",9.79,"62510.86846"
"2020-02","SC",9.67,"6108.57473"
"2020-02","SD",9.79,"1117.90908"
"2020-02","TN",9.55,"8015.69558"
"2020-02","TX",8.33,"31833.68614"
"2020-02","US",10.22,"294659.40487"
"2020-02","UT",7.86,"2388.66322"
"2020-02","VA",9.3,"9507.37364"
"2020-02","VT",16.3,"455.17038"
"2020-02","WA",8.14,"8042.69843"
"2020-02","WI",10.54,"5553.42939"
"2020-02","WNC",9.07,"24982.62637"
"2020-02","WSC",8,"47572.51359"
"2020-02","WV",8.8,"2781.67248"
"2020-02","WY",7.98,"1450.33652"
"2020-01","AK",20.28,"593.40719"
"2020-01","AL",9.53,"7176.42851"
"2020-01","AR",7.73,"3961.33375"
"2020-01","AZ",9.42,"5769.42878"
"2020-01","CA",16.44,"20562.24693"
"2020-01","CO",9.55,"4706.33266"
"2020-01","CT",19.19,"2378.92267"
"2020-01","DC",11.8,"906.22469"
"2020-01","DE",9.81,"963.57234"
"2020-01","ENC",9.98,"47133.73728"
"2020-01","ESC",9.29,"25362.17356"
"2020-01","FL",10.05,"17553.51711"
"2020-01","GA",9.21,"11215.9969"
"2020-01","HI",28.91,"770.77599"
"2020-01","IA",8.44,"4547.68021"
"2020-01","ID",7.87,"2036.80072"
"2020-01","IL",9.53,"11583.32776"
"2020-01","IN",9.71,"8409.41249"
"2020-01","KS",9.83,"3309.32687"
