"period","stateid","price","sales"
"2018-10","DE",11.03,"919.86024"
"2018-10","ENC",10.1,"44962.74388"
"2018-10","ESC",9.12,"25760.92202"
"2018-10","FL",10.38,"21308.02613"
"2018-10","GA",9.13,"11122.64242"
"2018-10","HI",28.97,"851.1914"
"2018-10","IA",8.13,"3965.7363"
"2018-10","ID",7.89,"1661.48138"
"2018-10","IL",9.79,"10823.034"
"2018-10","IN",9.67,"8183.75515"
"2018-10","KS",10.59,"3222.41715"
"2018-10","KY",8.35,"6065.8518"
"2018-10","LA",7.33,"8084.29967"
"2018-10","MA",18.23,"4109.66683"
"2018-10","MAT",12.62,"29065.56509"
"2018-10","MD",11.79,"4586.0076"
"2018-10","ME",13.16,"1022.99723"
"2018-10","MI",11.09,"8141.32956"
"2018-10","MN",10.26,"5270.85889"
"2018-10","MO",9.29,"6032.65192"
"2018-10","MS",9.12,"4261.51888"
"2018-10","MT",8.87,"1157.82622"
"2018-10","MTN",9.4,"21631.53814"
"2018-10","NC",9.43,"10570.49908"
"2018-10","ND",8.93,"1667.05663"
"2018-10","NE",8.76,"2293.14362"
"2018-10","NEW",17.45,"9179.56368"
"2018-10","NH",17.06,"855.99697"
"2018-10","NJ",12.61,"5827.4842"
"2018-10","NM",9.2,"1920.9011"
"2018-10","NV",8.24,"2819.16713"
"2018-10","NY",15.2,"11966.84112"
"2018-10","OH",9.85,"12209.19892"
"2018-10","OK",8.21,"5026.66724"
"2018-10","OR",8.8,"3868.50565"
"2018-10","PA",9.89,"11271.23977"
"2018-10","PACC",13.53,"33334.72292"
"2018-10","PACN",25.7,"1321.16277"
"2018-10","RI",18.68,"572.30451"
"2018-10","SAT",9.83,"67644.51468"
"2018-10","SC",9.37,"6484.0345"
"2018-10","SD",10.27,"968.64149"
"2018-10","TN",9.39,"8216.67604"
"2018-10","TX",8.36,"35634.42876"
"2018-10","US",10.41,"309113.58697"
"2018-10","UT",8.09,"2481.92101"
"2018-10","VA",9.28,"9029.03787"
"2018-10","VT",15.05,"436.17773"
"2018-10","WA",7.93,"7051.39809"
"2018-10","WI",10.46,"5605.42625"
"2018-10","WNC",9.45,"23420.506"
"2018-10","WSC",8.1,"52792.3478"
"2018-10","WV",8.33,"2700.78162"
"2018-10","WY",7.76,"1319.49667"
"2018-09","AK",19.1,"465.29913"
"2018-09","AL",9.95,"8165.12099"
"2018-09","AR",7.84,"4555.61377"
"2018-09","AZ",11.25,"7872.87727"
"2018-09","CA",17.41,"20312.25885"
"2018-09","CO",10.28,"4901.66794"
"2018-09","CT",19.12,"2358.16643"
"2018-09","DC",11.88,"987.88805"
"2018-09","DE",10.44,"1024.04521"
"2018-09","ENC",10.01,"47908.86781"
"2018-09","ESC",9.38,"28800.26985"
"2018-09","FL",10.24,"23237.9173"
"2018-09","GA",10.13,"13160.94378"
"2018-09","HI",29.23,"810.2575"
"2018-09","IA",9.51,"4077.31809"
"2018-09","ID",7.73,"1862.97993"
"2018-09","IL",9.44,"11904.77789"
"2018-09","IN",9.9,"8758.66009"
"2018-09","KS",10.65,"3631.96298"
"2018-09","KY",8.6,"6491.23539"
"2018-09","LA",7.62,"8879.01237"
"2018-09","MA",18.97,"4706.31067"
"2018-09","MAT",13.14,"33895.00491"
"2018-09","MD",11.38,"5161.60628"
"2018-09","ME",13.26,"1020.81118"
